Assemblage,Family,Site,count,total,percetage
A,Pocilliporidae,1,7,7,100
T,Other,1,1,15,6.666666667
T,Pocilliporidae,1,14,15,93.33333333
P,Other,1,0,16,0
P,Pocilliporidae,1,16,16,100
AT,Other,1,1,12,8.333333333
AT,Pocilliporidae,1,11,12,91.66666667
PT,Other,1,0,15,0
PT,Pocilliporidae,1,15,15,100
PA,Other,1,4,13,30.76923077
PA,Pocilliporidae,1,9,13,69.23076923
PAT,Other,1,2,17,11.76470588
PAT,Pocilliporidae,1,15,17,88.23529412
C,Other,1,2,33,6.060606061
C,Pocilliporidae,1,31,33,93.93939394
A,Pocilliporidae,2,1,1,100
T,Other,2,0,4,0
T,Pocilliporidae,2,4,4,100
P,Other,2,0,9,0
P,Pocilliporidae,2,9,9,100
AT,Other,2,0,2,0
AT,Pocilliporidae,2,2,2,100
PT,Other,2,4,11,36.36363636
PT,Pocilliporidae,2,7,11,63.63636364
PA,Other,2,2,5,40
PA,Pocilliporidae,2,3,5,60
PAT,Other,2,0,10,0
PAT,Pocilliporidae,2,10,10,100
C,Other,2,0,18,0
C,Pocilliporidae,2,18,18,100
A,Pocilliporidae,3,5,5,100
T,Other,3,0,3,0
T,Pocilliporidae,3,3,3,100
P,Other,3,3,8,37.5
P,Pocilliporidae,3,5,8,62.5
AT,Other,3,0,3,0
AT,Pocilliporidae,3,3,3,100
PT,Other,3,0,3,0
PT,Pocilliporidae,3,3,3,100
PA,Other,3,4,8,50
PA,Pocilliporidae,3,4,8,50
PAT,Other,3,0,3,0
PAT,Pocilliporidae,3,3,3,100
C,Other,3,2,10,20
C,Pocilliporidae,3,8,10,80
